#fortia(MW)=778.45----->98.8%
#paragwgh(MW)=787.9
#apwleies(MW)=9.45----->1.2%


#BUS   NAME    VNOM    PLOAD          QLOAD       BSHUNT       QSHUNT       ;
LINE   LN157   BUS118  BUS120    0.000987    0.001911     3.628539515  6.65            1               ;
LINE   LN158   BUS118  BUS120    0.000987    0.001911     3.628539515  6.65            1               ;
LINE   LN159   BUS118  BUS121    0.001175    0.002275     4.319689899  6.65            1               ;
LINE   LN160   BUS118  BUS121    0.001175    0.002275     4.319689899  6.65            1               ;
LINE   LN161   BUS83   BUS122    0.01638     0.047691     4.684048673  88.044          1               ;
LINE   LN162   BUS82   BUS58     0.123682    0.5108805    181.2306262  128.7           1               ;
LINE   LN163   BUS82   BUS83     0.147132    0.607743     215.5917959  128.7           1               ;
LINE   LN164   BUS83   BUS58     0.267196    1.103679     391.5209845  128.7           1               ;



#TRANSFO  NAME FROMBUS TOBUS  R        X        B1 B2           N   PHI SNOM  BR ;
TRANSFO   TR01 BUS07   BUS06  0.23314  12.22578 0. -0.024998924 100. 0.  63.   1 ;
TRANSFO   TR02 BUS11   BUS12  0.279778 9.379828 0. -0.109999599 100. 0.  45.   1 ;
TRANSFO   TR03 BUS11   BUS12  0.279089 9.399858 0. -0.109999613 100. 0.  45.   1 ;
TRANSFO   TR04 BUS14   BUS04  0.296244 9.465366 0. -0.119999608 100. 0.  45.   1 ;
TRANSFO   TR05 BUS21   BUS22  0.314339 16.39699 0. -0.042998142 100. 0.  85.   1 ;
TRANSFO   TR06 BUS39   BUS35  0.270222 10.09639 0. -0.099999668 100. 0.  45.   1 ;
TRANSFO   TR07 BUS39   BUS35  2.95422  9.500144 0. -0.119999601 100. 0.  45.   1 ;
TRANSFO   TR08 BUS48   BUS123 0.483365 21.97468 0. -0.03999869  100. 0.  40.   1 ;
TRANSFO   TR09 BUS50   BUS51  0.4955   21.12419 0. -0.03999833  100. 0.  40.   1 ;
TRANSFO   TR10 BUS50   BUS52  0.540756 14.7701  0. -0.049997818 100. 0.  25.   1 ;
TRANSFO   TR11 BUS62   BUS75  0.190303 14.90879 0. -0.059998996 100. 0.  165.  1 ;
TRANSFO   TR12 BUS62   BUS76  0.189091 14.8888  0. -0.059998929 100. 0.  165.  1 ;
TRANSFO   TR13 BUS77   BUS78  0.203576 14.99862 0. -0.059998723 100. 0.  165.  1 ;
TRANSFO   TR14 BUS62   BUS79  0.4      13.00385 0. -0.069998589 100. 0.  45.   1 ;
TRANSFO   TR15 BUS83   BUS88  0.315556 13.00617 0. -0.069998589 100. 0.  45.   1 ;
TRANSFO   TR16 BUS83   BUS89  0.315556 13.00617 0. -0.069998589 100. 0.  45.   1 ;
TRANSFO   TR17 BUS83   BUS90  0.4      13.00385 0. -0.069998589 100. 0.  45.   1 ;
TRANSFO   TR18 BUS83   BUS91  0.4      13.00385 0. -0.069998589 100. 0.  45.   1 ;
TRANSFO   TR19 BUS92   BUS95  0.320699 15.45167 0. -0.119998728 100. 0.  120.  1 ;
TRANSFO   TR20 BUS93   BUS96  0.345    15.37613 0. -0.1079987   100. 0.  100.  1 ;
TRANSFO   TR21 BUS94   BUS97  0.345    15.37613 0. -0.1079987   100. 0.  100.  1 ;
TRANSFO   TR22 BUS98   BUS101 0.303584 15.20697 0. -0.082998617 100. 0.  125.  1 ;
TRANSFO   TR23 BUS99   BUS102 0.318095 15.19667 0. -0.092998586 100. 0.  105.  1 ;
TRANSFO   TR24 BUS100  BUS103 0.318095 15.19667 0. -0.092998586 100. 0.  105.  1 ;
TRANSFO   TR25 BUS87   BUS106 0.291862 15.86732 0. -0.139998902 100. 0.  72.5  1 ;
TRANSFO   TR26 BUS87   BUS107 0.291862 15.86732 0. -0.139998902 100. 0.  72.5  1 ;
TRANSFO   TR27 BUS87   BUS108 0.275862 15.99762 0. -0.139998913 100. 0.  72.5  1 ;
TRANSFO   TR28 BUS87   BUS109 0.275862 15.99762 0. -0.139998913 100. 0.  72.5  1 ;
TRANSFO   TR29 BUS87   BUS110 0.310345 14.99679 0. -0.139998913 100. 0.  72.5  1 ;
TRANSFO   TR30 BUS87   BUS111 0.310345 14.99679 0. -0.139998913 100. 0.  72.5  1 ;
TRANSFO   TR31 BUS112  BUS113 0.413846 16.68487 0. -0.039998607 100. 0.  65.   1 ;
TRANSFO   TR32 BUS117  BUS118 0.416842 17.19495 0. -0.039998647 100. 0.  65.   1 ;




#GENER NAME    BUS     P         Q           VIMP         SNOM         QMIN            QMAX            BR      ;
GENER G01 BUS75 93.206750 30.637059 1. 172.5 -50. 97.5 1 ;
GENER G02 BUS76 109.888999 36.120514 1. 172.5 -50. 97.5 1 ;
GENER G03 BUS78 107.040001 35.184048 1. 172.5 -50. 97.5 1 ;
GENER G04 BUS79 0.000000 0.000000 1. 46.875 -18. 28.125 0 ;
GENER G05 BUS88 0.000000 0.000000 1. 46.875 -18. 28.125 0 ;
GENER G06 BUS89 0.000000 0.000000 1. 46.875 -18. 28.125 0 ;
GENER G07 BUS90 31.967611 10.507754 1. 46.875 -18. 28.125 0 ;
GENER G08 BUS91 6.042136 1.986050 1. 46.875 -18. 28.125 0 ;
GENER G09 BUS95 71.320127 23.442926 0. 112.5 -45. 90. 1 ;
GENER G10 BUS96 60.052039 19.739105 1. 103.2 -40. 67.5 1 ;
GENER G11 BUS97 60.314711 19.825446 1. 103.2 -40. 67.5 1 ;
GENER G12 BUS101 0.000000 0.000000 0. 111.25 -50. 90. 1 ;
GENER G13 BUS102 0.000000 0.000000 1. 102. -40. 80. 1 ;
GENER G14 BUS103 64.649031 21.250136 1. 102. -40. 80. 1 ;
GENER G15 BUS106 52.341874 17.204774 1. 75. -13. 45. 1 ;
GENER G16 BUS107 55.359790 18.196763 1. 75. -13. 45. 1 ;
GENER G17 BUS108 54.276126 17.840563 1. 75. -28. 45. 1 ;
GENER G18 BUS109 51.046728 16.779059 1. 75. -28. 45. 1 ;
